Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Liechtenstein,Europe,38157,127,1,1,,116,,10,,3328,26,900,23587,Europe
Caribbean Netherlands,North America,26286,124,,1,,46,,77,,4717,38,2575,97961,
Antigua and Barbuda,North America,98140,107,,3,,96,,8,,1090,31,2878,29325,Americas
British Virgin Islands,North America,30284,71,,1,,66,,4,2,2344,33,4841,159853,
St. Vincent Grenadines,North America,111033,64,,,,64,,0,,576,,5360,48274,
St. Barth,North America,9885,62,,,,37,,25,,6272,,2668,269904,
Macao,Asia,651620,46,,,,46,,0,,71,,4238,6504,
Fiji,Australia/Oceania,898141,32,,2,,28,,2,1,36,2,10385,11563,WesternPacific
Dominica,North America,72033,31,,,,24,,7,,430,,2612,36261,Americas
Timor-Leste,Asia,1324866,28,,,,28,,0,,21,,8073,6093,South-EastAsia
New Caledonia,Australia/Oceania,286212,27,,,,27,,0,,94,,14585,50959,
Saint Lucia,North America,183847,27,,,,27,,0,,147,,8439,45902,Americas
Grenada,North America,112660,24,,,,24,,0,,213,,6252,55494,Americas
Laos,Asia,7302776,23,,,,22,,1,,3,,55110,7546,WesternPacific
Saint Kitts and Nevis,North America,53297,19,,,,17,,2,,356,,2431,45612,Americas
Saint Pierre Miquelon,North America,5786,16,,,,6,,10,,2765,,1967,339959,
Greenland,North America,56796,14,,,,14,,0,,246,,8254,145327,Europe
Montserrat,North America,4993,13,,1,,12,,0,,2604,200,449,89926,
Falkland Islands,South America,3505,13,,,,13,,0,,3709,,2261,645078,
